MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.4282867000,-122.0725325000,-28.204800718879653,0.007480397,0.1,242.49963,1595024840441,,,,
Fix,GT,37.4282867000,-122.0725325000,-28.203800201416016,0.010472805,0.1,242.5008,1595024841441,,,,
Fix,GT,37.4282866000,-122.0725325000,-28.202800750732422,0.020609349,0.1,242.50157,1595024842441,,,,
Fix,GT,37.4282864000,-122.0725327000,-28.202388009423885,0.16288048,0.1,242.49815,1595024843441,,,,
Fix,GT,37.4282836000,-122.0725385000,-28.193974219825634,1.0887929,0.1,242.08572,1595024844441,,,,
Fix,GT,37.4282776000,-122.0725550000,-28.183451756144848,2.081707,0.1,244.99718,1595024845441,,,,
Fix,GT,37.4282760000,-122.0725819000,-28.23716802994238,2.7716954,0.1,261.9807,1595024846441,,,,
Fix,GT,37.4282864000,-122.0726177000,-28.197735994732284,3.9235196,0.1,287.3119,1595024847441,,,,
Fix,GT,37.4283110000,-122.0726621000,-28.228104407169667,5.8215227,0.1,304.28192,1595024848441,,,,
Fix,GT,37.4283436000,-122.0727257000,-28.297930136072637,7.448477,0.1,300.7123,1595024849441,,,,
Fix,GT,37.4283704000,-122.0728094000,-28.378168778070233,8.445973,0.1,288.22263,1595024850441,,,,
Fix,GT,37.4283843000,-122.0729091000,-28.452387160660123,9.362017,0.1,276.76468,1595024851441,,,,
Fix,GT,37.4283863000,-122.0730194000,-28.439497856781657,10.162436,0.1,269.22684,1595024852441,,,,
Fix,GT,37.4283842000,-122.0731385000,-28.345889297788062,10.919264,0.1,268.5798,1595024853441,,,,
Fix,GT,37.4283816000,-122.0732652000,-28.268257915027334,11.510683,0.1,268.64838,1595024854441,,,,
Fix,GT,37.4283814000,-122.0733981000,-28.133517842038145,11.9844475,0.1,270.29068,1595024855441,,,,
Fix,GT,37.4283829000,-122.0735353000,-28.021735680114432,12.304811,0.1,270.6237,1595024856441,,,,
Fix,GT,37.4283835000,-122.0736763000,-28.017561719760693,12.646719,0.1,269.94376,1595024857441,,,,
Fix,GT,37.4283832000,-122.0738212000,-28.068278028700206,12.991064,0.1,269.8205,1595024858441,,,,
Fix,GT,37.4283837000,-122.0739698000,-28.163690871397193,13.336519,0.1,270.18967,1595024859441,,,,
Fix,GT,37.4283840000,-122.0741224000,-28.25275610792289,13.640469,0.1,269.79065,1595024860441,,,,
Fix,GT,37.4283836000,-122.0742775000,-28.33245277090748,13.705521,0.1,269.8846,1595024861441,,,,
Fix,GT,37.4283833000,-122.0744316000,-28.417581094754837,13.595976,0.1,269.55438,1595024862441,,,,
Fix,GT,37.4283823000,-122.0745858000,-28.50247345427738,13.77899,0.1,269.45352,1595024863441,,,,
Fix,GT,37.4283819000,-122.0747438000,-28.768777466792017,14.180474,0.1,269.90143,1595024864441,,,,
Fix,GT,37.4283823000,-122.0749050000,-29.107363519563478,14.318686,0.1,270.16718,1595024865441,,,,
Fix,GT,37.4283828000,-122.0750669000,-29.44773332531986,14.364582,0.1,269.96423,1595024866441,,,,
Fix,GT,37.4283823000,-122.0752297000,-29.785124466245747,14.441652,0.1,269.48682,1595024867441,,,,
